year,iso3c,population
2005,ATG,80000.0
2006,ATG,81000.0
2007,ATG,82000.0
2008,ATG,83000.0
2009,ATG,84000.0
2010,ATG,85000.0
2011,ATG,86000.0
2012,ATG,87000.0
2013,ATG,88000.0
2014,ATG,89000.0
2015,ATG,91000.0
2016,ATG,92000.0
2017,ATG,94000.0
2018,ATG,95000.0
2019,ATG,96000.0
2020,ATG,98000.0
2021,ATG,99000.0
2022,ATG,101000.0
2023,ATG,102000.0
2024,ATG,104000.0
2025,ATG,105000.0
1995,AUS,18120000.0
1996,AUS,18330000.0
1997,AUS,18510000.0
1998,AUS,18706000.0
1999,AUS,18919000.0
2000,AUS,19141000.0
2001,AUS,19386000.0
2002,AUS,19605000.0
2003,AUS,19827000.0
2004,AUS,20046000.0
2005,AUS,20312000.0
2006,AUS,20628000.0
2007,AUS,21016000.0
2008,AUS,21476000.0
2009,AUS,21866000.0
2010,AUS,22172000.0
2011,AUS,22522000.0
2012,AUS,22928000.0
2013,AUS,23298000.0
2014,AUS,23640000.0
2015,AUS,23985000.0
2016,AUS,24385000.0
2017,AUS,24759000.0
2018,AUS,25146000.0
2019,AUS,25520000.0
2020,AUS,25631000.0
2021,AUS,25771000.0
2022,AUS,26313000.0
2023,AUS,26951000.0
2024,AUS,27122000.0
2025,AUS,27448000.0
1995,AUT,7948000.0
1996,AUT,7959000.0
1997,AUT,7968000.0
1998,AUT,7977000.0
1999,AUT,7992000.0
2000,AUT,8012000.0
2001,AUT,8042000.0
2002,AUT,8082000.0
2003,AUT,8118000.0
2004,AUT,8169000.0
2005,AUT,8225000.0
2006,AUT,8268000.0
2007,AUT,8295000.0
2008,AUT,8322000.0
2009,AUT,8341000.0
2010,AUT,8361000.0
2011,AUT,8389000.0
2012,AUT,8426000.0
2013,AUT,8477000.0
2014,AUT,8544000.0
2015,AUT,8630000.0
2016,AUT,8740000.0
2017,AUT,8815000.0
2018,AUT,8885000.0
2019,AUT,8859000.0
2020,AUT,8901000.0
2021,AUT,8932000.0
2022,AUT,8978000.0
2023,AUT,9105000.0
2024,AUT,9159000.0
2025,AUT,9182000.0
1995,AZE,7644000.0
1996,AZE,7726000.0
1997,AZE,7800000.0
1998,AZE,7877000.0
1999,AZE,7953000.0
2000,AZE,8033000.0
2001,AZE,8114000.0
2002,AZE,8191000.0
2003,AZE,8269000.0
2004,AZE,8349000.0
2005,AZE,8447000.0
2006,AZE,8553000.0
2007,AZE,8666000.0
2008,AZE,8779000.0
2009,AZE,8922000.0
2010,AZE,8997000.0
2011,AZE,9111000.0
2012,AZE,9235000.0
2013,AZE,9356000.0
2014,AZE,9477000.0
2015,AZE,9593000.0
2016,AZE,9705000.0
2017,AZE,9810000.0
2018,AZE,9898000.0
2019,AZE,9951000.0
2020,AZE,9974000.0
2021,AZE,10026000.0
2022,AZE,10063000.0
2023,AZE,10127000.0
2024,AZE,10249000.0
2025,AZE,10372000.0
1995,BDI,5980000.0
1996,BDI,6090000.0
1997,BDI,6190000.0
1998,BDI,6300000.0
1999,BDI,6489000.0
2000,BDI,6684000.0
2001,BDI,6884000.0
2002,BDI,7091000.0
2003,BDI,7260000.0
2004,BDI,7478000.0
2005,BDI,7512000.0
2006,BDI,7737000.0
2007,BDI,7969000.0
2008,BDI,8232000.0
2009,BDI,8504000.0
2010,BDI,8776000.0
2011,BDI,9048000.0
2012,BDI,9329000.0
2013,BDI,9618000.0
2014,BDI,9907000.0
2015,BDI,10204000.0
2016,BDI,10530000.0
2017,BDI,10867000.0
2018,BDI,11193000.0
2019,BDI,11529000.0
2020,BDI,11875000.0
2021,BDI,12231000.0
2022,BDI,12598000.0
2023,BDI,12976000.0
2024,BDI,13365000.0
2025,BDI,13766000.0
1995,BEL,10131000.0
1996,BEL,10143000.0
1997,BEL,10170000.0
1998,BEL,10192000.0
1999,BEL,10214000.0
2000,BEL,10239000.0
2001,BEL,10263000.0
2002,BEL,10310000.0
2003,BEL,10356000.0
2004,BEL,10396000.0
2005,BEL,10446000.0
2006,BEL,10511000.0
2007,BEL,10585000.0
2008,BEL,10667000.0
2009,BEL,10753000.0
2010,BEL,10840000.0
2011,BEL,11001000.0
2012,BEL,11076000.0
2013,BEL,11138000.0
2014,BEL,11181000.0
2015,BEL,11237000.0
2016,BEL,11311000.0
2017,BEL,11352000.0
2018,BEL,11399000.0
2019,BEL,11456000.0
2020,BEL,11522000.0
2021,BEL,11555000.0
2022,BEL,11618000.0
2023,BEL,11743000.0
2024,BEL,11817000.0
2025,BEL,11855000.0
1995,BEN,6047000.0
1996,BEN,6204000.0
1997,BEN,6387000.0
1998,BEN,6584000.0
1999,BEN,6789000.0
2000,BEN,6998000.0
2001,BEN,7212000.0
2002,BEN,7432000.0
2003,BEN,7659000.0
2004,BEN,7895000.0
2005,BEN,8149000.0
2006,BEN,8403000.0
2007,BEN,8648000.0
2008,BEN,8906000.0
2009,BEN,9173000.0
2010,BEN,9446000.0
2011,BEN,9726000.0
2012,BEN,10014000.0
2013,BEN,10309000.0
2014,BEN,10615000.0
2015,BEN,10933000.0
2016,BEN,11260000.0
2017,BEN,11597000.0
2018,BEN,11941000.0
2019,BEN,12290000.0
2020,BEN,12643000.0
2021,BEN,12997000.0
2022,BEN,13353000.0
2023,BEN,13713000.0
2024,BEN,14099000.0
2025,BEN,14516000.0
1995,BFA,10353000.0
1996,BFA,10621000.0
1997,BFA,10897000.0
1998,BFA,11201000.0
1999,BFA,11534000.0
2000,BFA,11883000.0
2001,BFA,12250000.0
2002,BFA,12632000.0
2003,BFA,13031000.0
2004,BFA,13446000.0
2005,BFA,13876000.0
2006,BFA,14316000.0
2007,BFA,14757000.0
2008,BFA,15198000.0
2009,BFA,15650000.0
2010,BFA,16117000.0
2011,BFA,16603000.0
2012,BFA,17114000.0
2013,BFA,17636000.0
2014,BFA,18170000.0
2015,BFA,18718000.0
2016,BFA,19275000.0
2017,BFA,19836000.0
2018,BFA,20393000.0
2019,BFA,20952000.0
2020,BFA,21523000.0
2021,BFA,22101000.0
2022,BFA,22674000.0
2023,BFA,23251000.0
2024,BFA,23844000.0
2025,BFA,24451000.0
1995,BGD,115170000.0
1996,BGD,117650000.0
1997,BGD,120161000.0
1998,BGD,122683000.0
1999,BGD,125190000.0
2000,BGD,127658000.0
2001,BGD,130089000.0
2002,BGD,132478000.0
2003,BGD,134792000.0
2004,BGD,136986000.0
2005,BGD,139036000.0
2006,BGD,140921000.0
2007,BGD,142660000.0
2008,BGD,144304000.0
2009,BGD,145925000.0
2010,BGD,147575000.0
2011,BGD,149274000.0
2012,BGD,151008000.0
2013,BGD,152765000.0
2014,BGD,154520000.0
2015,BGD,156256000.0
2016,BGD,157971000.0
2017,BGD,159671000.0
2018,BGD,161356000.0
2019,BGD,163046000.0
2020,BGD,164689000.0
2021,BGD,166657000.0
2022,BGD,168520000.0
2023,BGD,170279000.0
2024,BGD,172019000.0
2025,BGD,173736000.0
1995,BGR,8312000.0
1996,BGR,8225000.0
1997,BGR,8162000.0
1998,BGR,8105000.0
1999,BGR,8067000.0
2000,BGR,8150000.0
2001,BGR,7891000.0
2002,BGR,7846000.0
2003,BGR,7801000.0
2004,BGR,7761000.0
2005,BGR,7719000.0
2006,BGR,7679000.0
2007,BGR,7640000.0
2008,BGR,7607000.0
2009,BGR,7564000.0
2010,BGR,7505000.0
2011,BGR,7327000.0
2012,BGR,7285000.0
2013,BGR,7246000.0
2014,BGR,7202000.0
2015,BGR,7154000.0
2016,BGR,7102000.0
2017,BGR,7050000.0
2018,BGR,7000000.0
2019,BGR,6951000.0
2020,BGR,6917000.0
2021,BGR,6839000.0
2022,BGR,6448000.0
2023,BGR,6445000.0
2024,BGR,6381000.0
2025,BGR,6317000.0
1995,BHR,559000.0
1996,BHR,574000.0
1997,BHR,589000.0
1998,BHR,605000.0
1999,BHR,621000.0
2000,BHR,638000.0
2001,BHR,661000.0
2002,BHR,711000.0
2003,BHR,765000.0
2004,BHR,824000.0
2005,BHR,889000.0
2006,BHR,960000.0
2007,BHR,1039000.0
2008,BHR,1107000.0
2009,BHR,1178000.0
2010,BHR,1235000.0
2011,BHR,1195000.0
2012,BHR,1209000.0
2013,BHR,1253000.0
2014,BHR,1315000.0
2015,BHR,1370000.0
2016,BHR,1424000.0
2017,BHR,1501000.0
2018,BHR,1503000.0
2019,BHR,1484000.0
2020,BHR,1472000.0
2021,BHR,1505000.0
2022,BHR,1529000.0
2023,BHR,1577000.0
2024,BHR,1617000.0
2025,BHR,1657000.0
1995,BHS,279000.0
1996,BHS,284000.0
1997,BHS,288000.0
1998,BHS,293000.0
1999,BHS,298000.0
2000,BHS,304000.0
2001,BHS,308000.0
2002,BHS,313000.0
2003,BHS,318000.0
2004,BHS,323000.0
2005,BHS,328000.0
2006,BHS,332000.0
2007,BHS,337000.0
2008,BHS,342000.0
2009,BHS,347000.0
2010,BHS,351000.0
2011,BHS,355000.0
2012,BHS,359000.0
2013,BHS,362000.0
2014,BHS,366000.0
2015,BHS,370000.0
2016,BHS,373000.0
2017,BHS,377000.0
2018,BHS,381000.0
2019,BHS,385000.0
2020,BHS,389000.0
2021,BHS,394000.0
2022,BHS,399000.0
2023,BHS,404000.0
2024,BHS,408000.0
2025,BHS,413000.0
1996,BIH,3763000.0
1997,BIH,3736000.0
1998,BIH,3732000.0
1999,BIH,3743000.0
2000,BIH,3751000.0
2001,BIH,3755000.0
2002,BIH,3759000.0
2003,BIH,3760000.0
2004,BIH,3763000.0
2005,BIH,3766000.0
2006,BIH,3768000.0
2007,BIH,3762000.0
2008,BIH,3754000.0
2009,BIH,3736000.0
2010,BIH,3704000.0
2011,BIH,3660000.0
2012,BIH,3605000.0
2013,BIH,3531000.0
2014,BIH,3526000.0
2015,BIH,3518000.0
2016,BIH,3511000.0
2017,BIH,3504000.0
2018,BIH,3496000.0
2019,BIH,3491000.0
2020,BIH,3487000.0
2021,BIH,3481000.0
2022,BIH,3473000.0
2023,BIH,3464000.0
2024,BIH,3455000.0
2025,BIH,3445000.0
1995,BLR,10177000.0
1996,BLR,10142000.0
1997,BLR,10093000.0
1998,BLR,10045000.0
1999,BLR,10019000.0
2000,BLR,9990000.0
2001,BLR,9929000.0
2002,BLR,9866000.0
2003,BLR,9797000.0
2004,BLR,9730000.0
2005,BLR,9664000.0
2006,BLR,9605000.0
2007,BLR,9561000.0
2008,BLR,9528000.0
2009,BLR,9505000.0
2010,BLR,9484000.0
2011,BLR,9462000.0
2012,BLR,9447000.0
2013,BLR,9443000.0
2014,BLR,9449000.0
2015,BLR,9461000.0
2016,BLR,9469000.0
2017,BLR,9459000.0
2018,BLR,9439000.0
2019,BLR,9420000.0
2020,BLR,9380000.0
2021,BLR,9303000.0
2022,BLR,9228000.0
2023,BLR,9178000.0
2024,BLR,9132000.0
2025,BLR,9087000.0
1995,BLZ,217000.0
1996,BLZ,222000.0
1997,BLZ,230000.0
1998,BLZ,239000.0
1999,BLZ,243000.0
2000,BLZ,250000.0
2001,BLZ,256000.0
2002,BLZ,263000.0
2003,BLZ,269000.0
2004,BLZ,276000.0
2005,BLZ,284000.0
2006,BLZ,291000.0
2007,BLZ,299000.0
2008,BLZ,307000.0
2009,BLZ,315000.0
2010,BLZ,322000.0
2011,BLZ,328000.0
2012,BLZ,334000.0
2013,BLZ,342000.0
2014,BLZ,349000.0
2015,BLZ,357000.0
2016,BLZ,364000.0
2017,BLZ,371000.0
2018,BLZ,379000.0
2019,BLZ,386000.0
2020,BLZ,393000.0
2021,BLZ,399000.0
2022,BLZ,397000.0
2023,BLZ,404000.0
2024,BLZ,411000.0
2025,BLZ,417000.0
1995,BOL,7567000.0
1996,BOL,7717000.0
1997,BOL,7871000.0
1998,BOL,8026000.0
1999,BOL,8183000.0
2000,BOL,8430000.0
2001,BOL,8590000.0
2002,BOL,8750000.0
2003,BOL,8910000.0
2004,BOL,9070000.0
2005,BOL,9230000.0
2006,BOL,9390000.0
2007,BOL,9550000.0
2008,BOL,9710000.0
2009,BOL,9870000.0
2010,BOL,10030000.0
2011,BOL,10190000.0
2012,BOL,10350000.0
2013,BOL,10510000.0
2014,BOL,10670000.0
2015,BOL,10830000.0
2016,BOL,10990000.0
2017,BOL,11150000.0
2018,BOL,11310000.0
2019,BOL,11470000.0
2020,BOL,11630000.0
2021,BOL,11800000.0
2022,BOL,11960000.0
2023,BOL,12130000.0
2024,BOL,12290000.0
2025,BOL,12450000.0
1995,BRA,158875000.0
1996,BRA,163538000.0
1997,BRA,166104000.0
1998,BRA,168693000.0
1999,BRA,171256000.0
2000,BRA,174696000.0
2001,BRA,177004000.0
2002,BRA,179228000.0
2003,BRA,181378000.0
2004,BRA,183470000.0
2005,BRA,185518000.0
2006,BRA,187535000.0
2007,BRA,189459000.0
2008,BRA,191335000.0
2009,BRA,193174000.0
2010,BRA,194749000.0
2011,BRA,196159000.0
2012,BRA,197671000.0
2013,BRA,199227000.0
2014,BRA,200811000.0
2015,BRA,202404000.0
2016,BRA,203872000.0
2017,BRA,205212000.0
2018,BRA,206529000.0
2019,BRA,207900000.0
2020,BRA,209165000.0
2021,BRA,210104000.0
2022,BRA,210863000.0
2023,BRA,211695000.0
2024,BRA,212584000.0
2025,BRA,213362000.0
1995,BRB,265000.0
1996,BRB,266000.0
1997,BRB,267000.0
1998,BRB,268000.0
1999,BRB,269000.0
2000,BRB,270000.0
2001,BRB,271000.0
2002,BRB,271000.0
2003,BRB,272000.0
2004,BRB,273000.0
2005,BRB,274000.0
2006,BRB,275000.0
2007,BRB,276000.0
2008,BRB,277000.0
2009,BRB,278000.0
2010,BRB,280000.0
2011,BRB,281000.0
2012,BRB,282000.0
2013,BRB,283000.0
2014,BRB,283000.0
2015,BRB,284000.0
2016,BRB,285000.0
2017,BRB,286000.0
2018,BRB,286000.0
2019,BRB,287000.0
2020,BRB,288000.0
2021,BRB,289000.0
2022,BRB,289000.0
2023,BRB,290000.0
2024,BRB,291000.0
2025,BRB,292000.0
1995,BRN,287000.0
1996,BRN,295000.0
1997,BRN,302000.0
1998,BRN,310000.0
1999,BRN,317000.0
2000,BRN,325000.0
2001,BRN,333000.0
2002,BRN,340000.0
2003,BRN,346000.0
2004,BRN,352000.0
2005,BRN,359000.0
2006,BRN,365000.0
2007,BRN,370000.0
2008,BRN,375000.0
2009,BRN,380000.0
2010,BRN,387000.0
2011,BRN,393000.0
2012,BRN,399000.0
2013,BRN,403000.0
2014,BRN,408000.0
2015,BRN,412000.0
2016,BRN,417000.0
2017,BRN,426000.0
2018,BRN,437000.0
2019,BRN,451000.0
2020,BRN,442000.0
2021,BRN,441000.0
2022,BRN,445000.0
2023,BRN,451000.0
2024,BRN,454000.0
2025,BRN,458000.0
1995,BTN,520000.0
1996,BTN,524000.0
1997,BTN,532000.0
1998,BTN,546000.0
1999,BTN,561000.0
2000,BTN,576000.0
2001,BTN,594000.0
2002,BTN,611000.0
2003,BTN,627000.0
2004,BTN,642000.0
2005,BTN,657000.0
2006,BTN,668000.0
2007,BTN,677000.0
2008,BTN,686000.0
2009,BTN,694000.0
2010,BTN,702000.0
2011,BTN,709000.0
2012,BTN,717000.0
2013,BTN,725000.0
2014,BTN,733000.0
2015,BTN,740000.0
2016,BTN,747000.0
2017,BTN,753000.0
2018,BTN,759000.0
2019,BTN,765000.0
2020,BTN,770000.0
2021,BTN,775000.0
2022,BTN,780000.0
2023,BTN,785000.0
2024,BTN,790000.0
2025,BTN,795000.0
1995,BWA,1558000.0
1996,BWA,1595000.0
1997,BWA,1631000.0
1998,BWA,1666000.0
1999,BWA,1698000.0
2000,BWA,1727000.0
2001,BWA,1762000.0
2002,BWA,1795000.0
2003,BWA,1827000.0
2004,BWA,1859000.0
2005,BWA,1893000.0
2006,BWA,1929000.0
2007,BWA,1967000.0
2008,BWA,2007000.0
2009,BWA,2049000.0
2010,BWA,2092000.0
2011,BWA,2134000.0
2012,BWA,2175000.0
2013,BWA,2217000.0
2014,BWA,2260000.0
2015,BWA,2305000.0
2016,BWA,2352000.0
2017,BWA,2402000.0
2018,BWA,2451000.0
2019,BWA,2500000.0
2020,BWA,2546000.0
2021,BWA,2588000.0
2022,BWA,2630000.0
2023,BWA,2675000.0
2024,BWA,2720000.0
2025,BWA,2763000.0
1995,CAF,3348000.0
1996,CAF,3436000.0
1997,CAF,3532000.0
1998,CAF,3629000.0
1999,CAF,3729000.0
2000,CAF,3833000.0
2001,CAF,3919000.0
2002,CAF,4006000.0
2003,CAF,4103000.0
2004,CAF,4193000.0
2005,CAF,4289000.0
2006,CAF,4378000.0
2007,CAF,4463000.0
2008,CAF,4559000.0
2009,CAF,4529000.0
2010,CAF,4493000.0
2011,CAF,4565000.0
2012,CAF,4611000.0
2013,CAF,4642000.0
2014,CAF,4623000.0
2015,CAF,4629000.0
2016,CAF,4714000.0
2017,CAF,4794000.0
2018,CAF,4879000.0
2019,CAF,4945000.0
2020,CAF,5027000.0
2021,CAF,5112000.0
2022,CAF,5098000.0
2023,CAF,5152000.0
2024,CAF,5331000.0
2025,CAF,5513000.0
1995,CAN,29263000.0
1996,CAN,29570000.0
1997,CAN,29868000.0
1998,CAN,30124000.0
1999,CAN,30367000.0
2000,CAN,30647000.0
2001,CAN,30971000.0
2002,CAN,31308000.0
2003,CAN,31602000.0
2004,CAN,31899000.0
2005,CAN,32203000.0
2006,CAN,32529000.0
2007,CAN,32849000.0
2008,CAN,33199000.0
2009,CAN,33582000.0
2010,CAN,33959000.0
2011,CAN,34299000.0
2012,CAN,34664000.0
2013,CAN,35032000.0
2014,CAN,35389000.0
2015,CAN,35676000.0
2016,CAN,36053000.0
2017,CAN,36494000.0
2018,CAN,37009000.0
2019,CAN,37555000.0
2020,CAN,37998000.0
2021,CAN,38221000.0
2022,CAN,38866000.0
2023,CAN,39969000.0
2024,CAN,41144000.0
2025,CAN,41550000.0
1995,CHE,7019000.0
1996,CHE,7062000.0
1997,CHE,7081000.0
1998,CHE,7096000.0
1999,CHE,7124000.0
2000,CHE,7164000.0
2001,CHE,7198000.0
2002,CHE,7256000.0
2003,CHE,7314000.0
2004,CHE,7364000.0
2005,CHE,7415000.0
2006,CHE,7459000.0
2007,CHE,7509000.0
2008,CHE,7593000.0
2009,CHE,7702000.0
2010,CHE,7786000.0
2011,CHE,7870000.0
2012,CHE,7955000.0
2013,CHE,8039000.0
2014,CHE,8140000.0
2015,CHE,8238000.0
2016,CHE,8327000.0
2017,CHE,8420000.0
2018,CHE,8484000.0
2019,CHE,8545000.0
2020,CHE,8606000.0
2021,CHE,8670000.0
2022,CHE,8739000.0
2023,CHE,8815000.0
2024,CHE,8962000.0
2025,CHE,9029000.0
1995,CHL,14381000.0
1996,CHL,14585000.0
1997,CHL,14783000.0
1998,CHL,14975000.0
1999,CHL,15162000.0
2000,CHL,15343000.0
2001,CHL,15520000.0
2002,CHL,15692000.0
2003,CHL,15857000.0
2004,CHL,16022000.0
2005,CHL,16183000.0
2006,CHL,16348000.0
2007,CHL,16518000.0
2008,CHL,16698000.0
2009,CHL,16881000.0
2010,CHL,17064000.0
2011,CHL,17254000.0
2012,CHL,17443000.0
2013,CHL,17612000.0
2014,CHL,17788000.0
2015,CHL,17971000.0
2016,CHL,18167000.0
2017,CHL,18419000.0
2018,CHL,18751000.0
2019,CHL,19107000.0
2020,CHL,19458000.0
2021,CHL,19678000.0
2022,CHL,19829000.0
2023,CHL,19961000.0
2024,CHL,20086000.0
2025,CHL,20207000.0
1995,CHN,1211210000.0
1996,CHN,1223890000.0
1997,CHN,1236260000.0
1998,CHN,1247610000.0
1999,CHN,1257860000.0
2000,CHN,1267430000.0
2001,CHN,1276270000.0
2002,CHN,1284530000.0
2003,CHN,1292270000.0
2004,CHN,1299880000.0
2005,CHN,1307560000.0
2006,CHN,1314480000.0
2007,CHN,1321290000.0
2008,CHN,1328020000.0
2009,CHN,1334500000.0
2010,CHN,1340910000.0
2011,CHN,1349160000.0
2012,CHN,1359220000.0
2013,CHN,1367260000.0
2014,CHN,1376460000.0
2015,CHN,1383260000.0
2016,CHN,1392320000.0
2017,CHN,1400110000.0
2018,CHN,1405410000.0
2019,CHN,1410080000.0
2020,CHN,1412120000.0
2021,CHN,1412600000.0
2022,CHN,1411750000.0
2023,CHN,1409670000.0
2024,CHN,1408280000.0
2025,CHN,1405080000.0
1995,CIV,13929000.0
1996,CIV,14324000.0
1997,CIV,14836000.0
1998,CIV,15367000.0
1999,CIV,15806000.0
2000,CIV,16258000.0
2001,CIV,16723000.0
2002,CIV,17201000.0
2003,CIV,17693000.0
2004,CIV,18199000.0
2005,CIV,18719000.0
2006,CIV,19254000.0
2007,CIV,19805000.0
2008,CIV,20371000.0
2009,CIV,20954000.0
2010,CIV,21553000.0
2011,CIV,22169000.0
2012,CIV,22803000.0
2013,CIV,23455000.0
2014,CIV,24126000.0
2015,CIV,24816000.0
2016,CIV,25525000.0
2017,CIV,26255000.0
2018,CIV,27006000.0
2019,CIV,27778000.0
2020,CIV,28572000.0
2021,CIV,29389000.0
2022,CIV,30229000.0
2023,CIV,31094000.0
2024,CIV,31983000.0
2025,CIV,32897000.0
1995,CMR,13513000.0
1996,CMR,13892000.0
1997,CMR,14280000.0
1998,CMR,14680000.0
1999,CMR,15091000.0
2000,CMR,15514000.0
2001,CMR,15929000.0
2002,CMR,16358000.0
2003,CMR,16801000.0
2004,CMR,17259000.0
2005,CMR,17733000.0
2006,CMR,18224000.0
2007,CMR,18730000.0
2008,CMR,19253000.0
2009,CMR,19790000.0
2010,CMR,20341000.0
2011,CMR,20906000.0
2012,CMR,21485000.0
2013,CMR,22077000.0
2014,CMR,22682000.0
2015,CMR,23298000.0
2016,CMR,23927000.0
2017,CMR,24566000.0
2018,CMR,25216000.0
2019,CMR,25876000.0
2020,CMR,26546000.0
2021,CMR,27224000.0
2022,CMR,27912000.0
2023,CMR,28608000.0
2024,CMR,29315000.0
